type;categorie;titre;lien;resume;date;source;prix;image
Article;Militarization of AI;AI, Warfare, and Augmented Cities;https://smallwarsjournal.com/2026/04/03/ai-warfare-and-augmented-cities/;The diffusion of Artificial Intelligence (AI) technologies is transforming both the urban environment and warfare. Thus, cities are becoming “surface of attacks” in the context of “AI augmented warfare”. But Cities are also being “AI augmented”. Thus, they support the diffusion of the competing Chinese and US AI technologies. This means that nowadays, the interactions between AI, war, and urban environments are changing the geopolitical status of cities.;03/04/2026;Small Wars Journal;;
Article;Militarization of AI;The Iran War: A War With or Against the AI Sector?;https://smallwarsjournal.com/2026/04/10/the-iran-war/;AI is at the heart of the Iran war. On one hand, the US and Israeli militaries use AI technologies massively in order to wage war against Iran. However, Iran retaliates and strikes the Persian Gulf countries. Iran strikes targets, among others, AI infrastructures, while directly threatening the offices and the staff of the US AI companies. And on a larger scale, the economic and energetic consequences of the war threaten the very development of the AI sector.;10/04/2026;Small Wars Journal;;
Article;Militarization of AI;Cognitive Warfare: A New Strategic Frontier?;https://smallwarsjournal.com/2026/06/04/cognitive-warfare-a-strategic-frontier/;The rise of cognitive warfare is deeply linked to the proliferation of conflicts since 2022. In this context, it appears that the Red Sea war has literally been a matrix for new ways of cognitive and kinetic warfare ecology. In the same dynamic, the weaponization of narratives is now being used as a major tool of political and strategic influence, as shown by Russia’s offensive against France.;04/06/2026;Small Wars Journal;;
Article;US-China Conflicts;La guerre des missiles de l’Ukraine à Israël : le levier caché de Pékin sur le Pentagone;https://legrandcontinent.eu/fr/2025/10/09/guerre-chine-etats-unis-missiles/;"Les États-Unis ont un problème de stocks — et Xi Jinping l’a très bien compris.
En arsenalisant certains minéraux critiques, en armant l’Iran, la « géo-bureaucratie » chinoise s’attaque à l’intimité du complexe militaro-industriel américain et exerce une pression constante sur sa production.";09/10/2025;Le Grand Continent;;
Article;US-China Conflicts;Vers la grande guerre entre la Chine et les États-Unis (première partie);https://legrandcontinent.eu/fr/2025/04/23/grande-guerre-chine-etats-unis-1/;"De part et d’autre du Pacifique, deux géants se préparent au combat.
Des millions de drones, des milliers de bâteaux, des satellites, des datacenters et des tarifs… Les coordonnées de l’affrontement sont, en partie, déjà là. Il faut les étudier de près pour comprendre à quoi pourrait ressembler une guerre ouverte. 
Premier épisode d’une vaste enquête signée Jean-Michel Valantin.";23/04/2025;Le Grand Continent;;
Article;US-China Conflicts;Des terres rares au fentanyl : vers la Grande Guerre entre la Chine et les États-Unis (deuxième partie);https://legrandcontinent.eu/fr/2025/05/13/grande-guerre-chine-etats-unis-2/;"Des hommes en armes patrouillent en rangs serrés à la frontière.
Des navires bloqués dans des ports.
Un opioïde létal qui pourrait devenir une arme de destruction massive.
Entre le Pentagone et la Californie, des contrats de plus en plus en gros, de plus en plus profitables.
Deuxième volet de notre vaste enquête sur les formes de la guerre qui vient.";13/05/2025;Le Grand Continent;;
Article;US-China Conflicts;La bataille de Taïwan : comment la Chine et les États-Unis préparent la guerre de haute intensité (troisième partie);https://legrandcontinent.eu/fr/?s=valantin;"Des bâteaux de pêcheurs aux coques d’acier, connectés au même GPS satellitaire que l’Armée populaire de libération.
Une chaîne de petits récifs perdus dans l’océan où l’on construit des bases.
Des câbles sectionnés. Des nouveaux porte-avions. Des hélicoptères de combat.
Troisième volet de notre enquête sur les formes de la guerre qui vient.";05/06/2025;Le Grand Continent;;
Article;Militarization of AI;L’IA aux racines de la guerre : grammaire d’une nouvelle géopolitique;https://legrandcontinent.eu/fr/2025/01/07/lia-aux-racines-de-la-guerre/;"Des écrans de smartphone aux drones, des usines aux partis politiques en passant par les avions, le déploiement de l’IA à l’échelle mondiale est en train de disrupter la puissance. Dans un monde cassé, la course à l’intelligence des modèles oblige à puiser de nouvelles ressources géologiques, scientifiques, financières.
Comment l’Europe peut-elle éviter de subir brutalement cette révolution ?
Plongée au cœur de l’hyperguerre.";07/01/2025;Le Grand Continent;;
Article;Geopolitics of Climate Change;Entre guerre et climat, géopolitique d’El Niño. Première partie : l’Europe en état d’hyper siège;https://legrandcontinent.eu/fr/2024/01/29/entre-guerre-et-climat-geopolitique-del-nino-premiere-partie-leurope-en-etat-dhyper-siege/;"La révolte des agriculteurs en Europe est-elle la conséquence du phénomène climatique El Niño ?
Depuis 2022, de l’Ukraine à Gaza en passant par le Yémen, la guerre s’étend. En 2023, de nouvelles limites planétaires ont été franchies. El Niño est au croisement de ces crises. Alors que l’embrasement guerrier et le réchauffement climatique épuisent nos modèles de croissance et à l’heure où les agriculteurs entrent en rébellion partout sur le continent, Jean-Michel Valantin lance une vaste étude sur les conséquences géopolitiques d’El Niño. Premier épisode : l’Europe.";29/01/2024;Le Grand Continent;;
Article;Geopolitics of Climate Change;Chine, Russie, énergie : le fragile alignement;https://legrandcontinent.eu/fr/2023/06/05/chine-russie-energie-le-fragile-alignement/;"Comment Xi Jinping intègre-t-il Moscou à sa stratégie globale ? La guerre en Ukraine et ses conséquences pour les exportations russes sont une aubaine alors que la Chine et sa « civilisation écologique » cherche à s’émanciper du charbon. Mais le cœur de l’amitié que se sont jurés Xi Jinping et Vladimir Poutine a la forme d'un échafaudage fragile et chancelant — la sécurité énergétique.
Deuxième volet de l'enquête de Jean-Michel Valantin consacrée à la grande stratégie chinoise sur une planète déréglée.";05/06/2023;Le Grand Continent;;
Article;Geopolitics of Climate Change;Comment la Chine a fait de l’Europe son « espace utile »;https://legrandcontinent.eu/fr/2023/04/25/comment-la-chine-a-fait-de-leurope-un-espace-utile-x/;"Pour comprendre ce que fait Pékin en Europe, il faut comprendre comment le continent est arrimé par un grand canal planétaire à « l’Empire du besoin ».
Premier volet d’une enquête au long cours signée Jean-Michel Valantin et consacrée à l’Europe et la grande stratégie chinoise sur une planète déréglée.";25/04/2023;Le Grand Continent;;
Article;Geopolitics of Climate Change;La longue stratégie russe en Europe;https://legrandcontinent.eu/fr/2023/02/10/la-longue-strategie-russe-en-europe/;En combinant le feu militaire au dérèglement de la Terre, la Russie de Poutine a fait du climat une arme de guerre braquée contre l’Europe. L’arsenal stratégique et opératif qu’elle déploie, propre à la « guerre liminale » hors du territoire ukrainien, entraîne toutes les parties prenantes dans un rapport stratégique à la durée.;10/02/2023;Le Grand Continent;;
Podcast;US-China Conflicts;Sommes-nous au bord de la 3ème guerre mondiale? avec Jean-Michel Valantin;https://youtu.be/YzBbJ-E9Pqs?si=AB0_6EbeNGCVNi_3;;27/01/2026;VLAN!;;
Podcast;Militarization of AI;COMMENT L'IA RÉVOLUTIONNE LA GUERRE ? Avec Jean-Michel Valantin;https://youtu.be/SMVzAULqgek?si=0wCsXTSCO2OdFTHN;Ce n’est plus de la science-fiction : l’intelligence artificielle est désormais une réalité sur les champs de bataille. Qu’il s’agisse de drones, de missiles hypersoniques ou encore de vidéos virales diffusées sur les réseaux sociaux, les conflits en Ukraine et au Moyen-Orient voient l’émergence de nouvelles armes qui transforment la manière de faire la guerre. Dans le même temps, la Chine et les États-Unis s’affrontent pour l’accès aux ressources essentielles à l’IA militaire.;14/02/2025;Echange Climatique;;
Podcast;Militarization of AI;"Hyperguerre, comment l'IA révolutionne la guerre"" - Jean-Michel Valantin";https://youtu.be/je5pXcBUXkc?si=eXHXKsX8GUgCFcWE;"Interview de Jean-Michel Valantin, Docteur et chercheur en études stratégiques.
Auteur de “Hyperguerre - Comment l’IA révolutionne la guerre” - Nouveau monde éditions (2024)
Lauréat du Prix du livre HLU Edition #1 - Catégorie ""Le Monde qui Vient""";09/12/2025;Heart Leadership University;;
Podcast;Militarization of AI;Regards croisés #8 : Hyperguerre et Monde qui vient - Jean-Michel Valantin & Blaise Mao;https://youtu.be/PNG_EoGnb-4?si=PytF1J-G_7m_GyfB;Hyperguerre, intelligence artificielle, guerre économique et cognitive : à l’heure où un futur probable est une guerre totale, quelle part de futur souhaitable peut-on encore espérer en Europe de l’Ouest ?;07/04/2026;Heart Leadership University;;
Podcast;Geopolitics of Climate Change;Climat, ressources... Les enjeux stratégiques sur une planète déréglée - JEAN-MICHEL VALANTIN;https://youtu.be/TLTSynfXY_k?si=MfZp9vQPJ8OuI8kd;Les changements géophysiques et la crise biologique planétaires en cours sont autant de facteurs de bouleversements géopolitiques rapides, massifs et brutaux. Un nouveau paysage géopolitique et stratégique émerge, marqué par la combinaison du changement climatique et de ses effets systémiques, comme les migrations de masse, la compétition mondiale pour les ressources et la crise des régimes contemporains.;07/03/2024;Sismique;;
Podcast;Geopolitics of Climate Change;Climat et enjeux économiques et géostratégiques dans l'arctique [Jean-Michel Valantin];https://youtu.be/ha65iLZ574w?si=ZghkSHwMfDjRbiAQ;Xerfi Canal a reçu Jean-Michel Valantin, docteur en Études stratégiques et sociologie de la défense de l'EHESS, responsable de la rubrique  Environment and Security  du Think Tank Red Analysis Society, pour parler du changement climatique.  Une interview menée par Isabelle Barth.;01/10/2020;Xerfi;;
Podcast;US-China Conflicts;Le concept de Chimérica (Etats-Unis/Chine) [Jean-Michel Valantin];https://youtu.be/y-jFL3xDsf8?si=8kGe2k3n2pSuQolr;Xerfi Canal a reçu Jean-Michel Valantin, docteur en Études stratégiques et sociologie de la défense de l'EHESS, responsable de la rubrique  Environment and Security  du Think Tank Red Analysis Society, pour parler du concept de Chimérica.  Une interview menée par Isabelle Barth.;24/09/2020;Xerfi;;
Podcast;Geopolitics of Climate Change;Interview Jean-Michel Valantin - Finaliste du Prix du livre de Géopolitique;https://youtu.be/13A-C6VLkHI?si=DozjGGDfF7NP0zBi;"FINALISTE DU PRIX DU LIVRE DE GÉOPOLITIQUE
MARDI 16 MAI AU MINISTÈRE DES AFFAIRES ÉTRANGÈRES
Le monde de l’après Guerre froide est un monde où l’incertitude est devenue une donnée permanente. L’actualité la plus récente le confirme à nouveau.";15/06/2020;Lire la Société;;
Podcast;Geopolitics of Climate Change;LES GUERRES CLIMATIQUES ARRIVENT ? Jean-Michel Valantin;https://youtu.be/xb7nXxSHKHg?si=M1TG-SK8RTR9C2JH;"Fonte de la banquise arctique, épuisement des ressources, raréfaction du pétrole ou migrations climatiques... Les modifications géophysiques bouleversent les équilibres stratégiques et militaires. D'où cette question, le réchauffement de la planète va-t-il engendrer des guerres du climat ?
Pour y répondre, nous recevons Jean-Michel Valantin, docteur en études stratégiques, chercheur à la Red Team Analysis society, et auteur de Géopolitique d'une planète déréglée.";05/01/2021;Greenletter Club;;
Podcast;US-China Conflicts;Biden ou Trump : devant l'incertitude politique et économique [Jean-Michel Valantin];https://youtu.be/e89oRJ5LOTA?si=9sl-uOxxG3CtudoU;"Xerfi Canal a reçu Jean-Michel Valantin, Docteur en Études stratégiques et sociologie de la défense de l'EHESS, responsable de la rubrique ""Environment and Security"" du Think Tank Red Analysis Society, pour parler de la crise de gouvernance aux Etats-Unis.
Une interview menée par Isabelle Barth.";03/11/2020;Xerfi;;
Podcast;US-China Conflicts;La Chine et les enjeux économiques et géopolitiques dans l'I.A. [Jean-Michel Valantin];https://youtu.be/rK4fgSvzeeI?si=J4fVcxQcRxeWbcmC;Xerfi Canal a reçu Jean-Michel Valantin, docteur en Études stratégiques et sociologie de la défense de l'EHESS, responsable de la rubrique  Environment and Security  du Think Tank Red Analysis Society, pour parler de l'intelligence artificielle.  Une interview menée par Isabelle Barth.;17/12/2020;Xerfi;;
Podcast;Geopolitics of Climate Change;Géopolitique, guerre et crise planétaire Dr Jean-Michel Valantin, The Red Team Analysis Society;https://www.youtube.com/live/mqQXHrGyOlw?si=o9PiF-8XiiGny1MA;Fonte de la banquise arctique, épuisement des ressources, raréfaction du pétrole ou migrations climatiques… Les modifications géophysiques bouleversent les équilibres stratégiques et militaires. D’où cette question, le réchauffement de la planète, va-t-il engendrer des guerres du climat ? Pour y répondre, nous recevons Jean-Michel Valantin spécialiste des effets géopolitiques et stratégiques du changement climatique et de la compétition internationale pour les ressources.;04/04/2023;Noise AgroParisTech;;
Podcast;Geopolitics of Climate Change;Ambitions climatiques : l'incontournable question géopolitique;https://youtu.be/tL0HPtYOjhE?si=na_in_gAIaA7ol6c;"En France, les députés discutent depuis le 29 mars de la loi portant lutte contre le dérèglement climatique. Déjà les critiques fusent, du côté de  l’opposition et surtout de la société civile. Dans la rue, des milliers de manifestants ont accusé le manque d'ambition de la loi. 
À ce sujet se superpose un autre : cinq ans après le fameux ""Make our planet great again"" d'Emmanuel Macron, quelle place a Paris dans la lutte l'internationale contre le réchauffement climatique ? 
Pour en parler, Guillaumer Erner reçoit Jean-Michel Valantin, docteur en études stratégiques, auteur de ""Géopolitique d'une planète déréglée. Le choc de l'Anthropocène"" (Seuil, 2017) et Chloé Gerbier, juriste de l’association Notre affaire à tous.";07/04/2021;France Culture;;
Podcast;Geopolitics of Climate Change;Jean-Michel Valantin - Responsable rubrique Environment & security The Red Team Analysis Society;https://youtu.be/zkCFOs8APxo?si=HzxVIDEEcrHTvrBr;;20/09/2022;Melchior;;
Podcast;Militarization of AI;Hyperguerre, la géopolitique à l'heure de l'IA - Jean-Michel Valantin;https://youtu.be/KeMu7s6FquE?si=IXdSALxtEE1wN09J;;08/05/2025;Les dessous de l'IA;;
Podcast;Geopolitics of Climate Change;Géopolitique, guerre, et crise planétaire. [Jean-Michel Valantin];https://youtu.be/a99HA5ML7ZQ?si=KsykWD8kkO9HnK-r;Prise de recul sur l’actualité géopolitique récente, mettant à sa juste place l’influence des dérèglements climatiques sur la conflictualité, par le D. Jean-Michel Valantin.;09/02/2023;Café Collapse;;
Podcast;Geopolitics of Climate Change;L'impact géo-économique des méga-incendies : l'exemple de la californie [Jean-Michel Valantin];https://youtu.be/Xc-yBnorsGs?si=rReZc5TClY5Le255;Xerfi Canal a reçu Jean-Michel Valantin, Docteur en Études stratégiques et sociologie de la défense de l'EHESS, responsable de la rubrique  Environment and Security  du Think Tank Red Analysis Society, pour parler de géopolitique.  Une interview menée par Isabelle Barth.;11/01/2021;Xerfi;;
Podcast;US-China Conflicts;La planète bénéficiera-t-elle de la concurrence Chine/États-Unis ?;https://youtu.be/pOw7C5t7bdU?si=x3SDEwintLLrWxiI;"Alors qu’a eu lieu en janvier 2020 la signature de la première phase d'un accord commercial censé mettre fin au bras de fer qui oppose les États-Unis et la Chine, zoom sur la ""Chinamerica"", cette coopération qui unit deux grandes puissances autant qu’elle les met en compétition, le tout sur fond de crise climatique.";22/02/2020;France Culture;;
Podcast;Militarization of AI;"Militarisation de l'intelligence artificielle, ou l'hyperguerre"" par Jean-Michel Valantin";https://youtu.be/EB7i4eVk_2M?si=z4jE_CXVPO6qtqax;"Les usages militaires de l’intelligence artificielle se développent de plus en plus rapidement, de plus en plus puissamment. L’IA est projetée sur tous les champs de bataille, de l’Ukraine au Moyen Orient. 
Ces nouvelles technologies sont désormais au centre de la course aux armements. Et l’IA fait émerger de nouveaux théâtres d’opérations, sous la forme de la guerre cognitive et de nouvelles formes de cyberviolence.
Cette conférence est l’occasion d’explorer les conséquences de la militarisation de l’IA et de ses conséquences en cascades, qui vont définir le futur de la géopolitique et de la stratégie.";23/01/2025;Cercle CLE;;
Podcast;Geopolitics of Climate Change;"Géopolitique, guerre et crise planétaire"" par Jean-Michel Valantin";https://youtu.be/Sng23Qykelk?si=64CdFCa95rEVZUTE;;19/10/2023;Cercle CLE;;
Podcast;Militarization of AI;Comment Israël a utilisé l'intelligence artificielle à Gaza. Et comment le Hamas s'y est adapté;https://youtu.be/sVMEgym9UEc?si=QlT4ZfYwG39Un3WD;;16/01/2025;Radio J;;
Podcast;Militarization of AI;Hyperguerre : comment l'IA révolutionne la guerre ? • FRANCE 24;https://youtu.be/eLcya_tExCg?si=APIUAPmBpRGZrqNi;"L’intégration de l’intelligence artificielle (IA) dans les système d’armes est déjà une réalité sur les champs de bataille en Ukraine, comme à Gaza. L'IA est une arme de destruction massive, et ces guerres constituent des laboratoires d’essais grandeur nature. Pour en parler, Ali Laïdi reçoit Jean-Michel Valantin, chercheur en géopolitique, et auteur d’un livre récemment paru aux éditions du Nouveau monde : ""Hyperguerre, comment l’IA révolutionne la guerre"".";26/11/2024;France 24;;
Podcast;Geopolitics of Climate Change;Table ronde III & Séance de clôture (FR) - Le changement climatique et la transition énergétique;https://youtu.be/vmw4i7Ayylw?si=r6k-TdfoAnwPyG6s;;15/03/2022;Civil Society Organisations Group of the EESC;;
Podcast;Geopolitics of Climate Change;El Nino : quel impact géopolitique pour ce phénomène climatique récurrent ? • FRANCE 24;https://youtu.be/xz61jMVCa1M?si=I2I3xfl-LA-HkgtM;"Jean-Michel Valantin, docteur en études stratégiques et co-auteur avec Laurent Testot de ""El Nino, histoire et géopolitique d'une bombe climatique"" (Ed. du Nouveau monde) est l'invité de L'Entretien de l'intelligence économique. Il montre à quel point l'impact géopolitique du phénomène climatique pourrait être brutal sur nos sociétés. Historiquement, El Nino est souvent associé à des périodes de ruptures. Aujourd’hui, il aggrave l’emballement climatique.";05/12/2023;France 24;;
Podcast;Geopolitics of Climate Change;Quelles sont les conséquences du changement climatique pour l'humanité ?;https://youtu.be/2_0cmsxI8xk?si=HIX4ypIg5tA7gy2C;"Nous l’avons vu dans les vidéos précédentes, le changement climatique va avoir un impact sur beaucoup de choses. Mais quel sera l’impact sur l’humanité ? 
Pour ce dernier épisode de la série Café Climat, j’ai décidé de laisser la parole à Jean Marc Jancovici, Pablo Servigne et Jean Michel Valantin de leur vision.";21/09/2021;Helialys;;
Podcast;Militarization of AI;Conférence ISEGORIA - JM Valantin - De la militarisation de l'IA - 10-12-24;https://www.youtube.com/live/bWCx6PiU08k?si=oSsCPMEjPeJNISrn;;10/12/2024;Isegoria Audencia;;
Podcast;Geopolitics of Climate Change;"Emballement climatique, tensions internationales et ""coopération sous tension";https://youtu.be/SyV92g1Snc0?si=b0EhDXVQzMgpC87v;Un mois après le 3ème Sommet des Nations-Unies sur les océans (UNOC3 - unocnice2025.org/), co-organisé par la France et le Costa Rica à Nice (du 9 au 13 juin 2025), LATFRAN reçoit Jean-Michel VALANTIN pour en tirer les enseignements et analyser plus largement les effets de l'emballement climatique sur les relations internationales.;25/07/2025;Association LATFRAN;;
Article;Militarization of AI;Hyperwar and the Defence of the Gulf Cities;https://www.dohainstitute.org/en/PoliticalStudies/Pages/hyperwar-and-the-defence-of-the-gulf-cities.aspx#;The US-Israeli war on Iran has transformed the technological and AI-driven development of the Gulf cities, especially their smart infrastructure, into surfaces of attack. What was once a source of strength thus becomes a point of vulnerability.;06/05/2026;Doha Institute;;
Article;US-China Conflicts;Signal – Mini-Chronicles (11): Iran, Trump, and China;https://redanalysis.org/2026/01/28/signal-chronicles-iran-trump-china/;;28/01/2026;The Read Team Analysis Society ;;
Article;US-China Conflicts;Trump geopolitics (3) – Towards the US-China war in Latin America and the Caribbean ?;https://redanalysis.org/2025/11/19/trump-geopolitics-us-china-war-latin-america-caribbean/;;19/11/2025;The Read Team Analysis Society ;;
Article;US-China Conflicts;Petrodollars for AI – Is AI the Future of the Oil and Gas Industry ?;https://redanalysis.org/2025/10/07/petrodollars-ai/;;07/10/2025;The Read Team Analysis Society ;;
Article;US-China Conflicts;Trump Geopolitics (2) – The US vs China Geoeconomic War;https://redanalysis.org/2025/05/05/trump-china-geoeconomic-war/:;;05/05/2025;The Read Team Analysis Society ;;
Article;US-China Conflicts;DeepSeek vs Stargate – China’s Offensive on U.S. AI Dominance?;https://redanalysis.org/2025/02/18/deepseek-vs-stargate/;;18/02/2025;The Read Team Analysis Society ;;
Article;US-China Conflicts;The New Space Race (1) – The BRICS and Space Mining;https://redanalysis.org/2024/12/16/the-new-space-race-1-the-brics-and-space-mining/;;16/12/2024;The Read Team Analysis Society ;;
Article;US-China Conflicts;Antarctic China (1): Strategies for a Very Cold Place;https://redanalysis.org/2021/05/31/antarctic-china-1-strategies-for-a-very-cold-place;;31/05/2021;The Read Team Analysis Society ;;
Article;US-China Conflicts;Antarctic China (2) – China’s Planetary Game;https://redanalysis.org/2021/06/28/antarctic-china-2-china-planetary-game/;;28/06/2021;The Read Team Analysis Society ;;
Article;Geopolitics of Climate Change;Apocalypse in the Red Sea – Anthropocene Wars (9);https://redanalysis.org/2024/02/20/apocalypse-in-the-red-sea-anthropocene-wars-9/;;20/02/2024;The Read Team Analysis Society ;;
Article;Geopolitics of Climate Change;Climate Emergency, AI and the (Necessary ?) Rise of Geoengineering;https://redanalysis.org/2023/06/12/climate-emergency-ai-and-the-necessary-rise-of-geoengineering/;;12/06/2023;The Read Team Analysis Society ;;
Article;Geopolitics of Climate Change;War in Ukraine, the 2023 Super El Niño and Global Disruptions – Anthropocene Wars (8);https://redanalysis.org/2023/05/09/war-in-ukraine-2023-super-el-nino-global-disruptions-anthropocene-wars-8/;;09/05/2023;The Read Team Analysis Society ;;
Article;Geopolitics of Climate Change;The Chinese Fishing Fleet, Influence and Hunger Wars;https://redanalysis.org/2021/04/20/chinese-fishing-fleet-influence-and-hunger-wars/;;20/04/2021;The Read Team Analysis Society ;;
Article;Geopolitics of Climate Change;Is the West Losing the Warming Arctic?;https://redanalysis.org/2020/12/07/is-the-west-losing-the-warming-arctic/;;07/12/2021;The Read Team Analysis Society ;;
Article;Militarization of AI;Chronicles of the Hyperwar – AI: AI, the New Energy Frontier (1);https://redanalysis.org/2026/02/12/chronicles-hyperwar-ai-new-energy-frontier-1/;;12/02/2026;The Read Team Analysis Society ;;
Article;Militarization of AI;AI at War (5) – Israel, Iran and the New (AI) Way of War;https://redanalysis.org/2025/06/30/israel-iran-war-ai/;;30/06/2025;The Read Team Analysis Society ;;
Article;Militarization of AI;AI at War (4): The US-China Drone and Robot Race;https://redanalysis.org/2025/03/24/ai-at-war-us-china-drone-and-robot-race/;;24/03/2025;The Read Team Analysis Society ;;
Article;Militarization of AI;Trump Geopolitics – 1: Trump as the AI Power President;https://redanalysis.org/2025/01/20/trump-geopolitics-ai-power-president/;;20/01/2025;The Read Team Analysis Society ;;
Article;Militarization of AI;AI at War (3) – Hyperwar in the Middle east;https://redanalysis.org/2024/10/14/hyperwar-middle-east-ai/;;14/10/2024;The Read Team Analysis Society ;;
Article;Militarization of AI;China, Serbia, AI, and the Pincer Movement on Europe;https://redanalysis.org/2023/04/02/china-serbia-ai-and-the-pincer-movement-on-europe/;;02/04/2023;The Read Team Analysis Society ;;
Article;Militarization of AI;China, Saudi Arabia and the Arab AI Rise;https://redanalysis.org/2023/01/31/china-saudi-arabia-arab-ai-rise/;;31/01/2023;The Read Team Analysis Society ;;
Article;Militarization of AI;War in Ukraine, Europe, and the Weaponization of Winter – Anthropocene Wars (7);https://redanalysis.org/2022/12/12/war-ukraine-europe-weaponization-winter-anthropocene-wars-7/;;12/12/2022;The Read Team Analysis Society ;;
Article;Militarization of AI;Belarus and the Weaponization of Migration – Anthropocene Wars (1);https://redanalysis.org/2022/02/07/belarus-and-the-weaponization-of-migration-anthropocene-wars-1/;;07/02/2022;The Read Team Analysis Society ;;
Article;Militarization of AI;Will there be Climate Civil Wars?;https://redanalysis.org/2021/11/30/will-there-be-climate-civil-wars/;;30/11/2021;The Read Team Analysis Society ;;
Article;Militarization of AI;What are Climate Wars?;https://redanalysis.org/2021/11/02/what-are-climate-wars/;;02/11/2021;The Read Team Analysis Society ;;
Book;;Hollywood, Washington et le Pentagone, les trois acteurs d'une stratégie globale (2003);https://www.amazon.fr/Hollywood-Pentagone-Washington-Jean-Michel-Valentin/dp/2746703793;;01/09/2003;;;Hollywood.png
Book;;Menace climatique sur l'ordre mondial (2005);https://www.fnac.com/a1665583/Jean-Michel-Valantin-Menaces-climatiques-sur-l-ordre-mondial;;01/06/2005;;;Menaces.png
Book;;Ecologie et gouvernance mondiale (2007);https://www.amazon.fr/Ecologie-gouvernance-mondiale-Jean-Michel-Valantin/dp/274671017X;;01/10/2007;;;Ecologie.png
Book;;Guerre et Nature, l'Amérique se prépare à la guerre du climat (2013);https://www.amazon.fr/Guerre-nature-Jean-michel-Valantin/dp/2810402523;;01/12/2013;;;Guerre.png
Book;;Géopolitique d'une Planète Déréglée (2017);https://www.editionspoints.com/ouvrage/geopolitique-d-une-planete-dereglee-jean-michel-valantin/9782757895184;;01/10/2017;;;Geopolitique.png
Book;;L'Aigle, le Dragon et la Crise Planétaire (2020);https://www.seuil.com/ouvrage/l-aigle-le-dragon-et-la-crise-planetaire-jean-michel-valantin/9782021430615;;30/01/2020;;Finaliste du prix du livre géopolitique 2020 - Ministère des affaires étrangères;Aigle.png
Book;;El Nino, Histoire et Géopolitique d'une Bombe Climatique (2023);https://www.nouveau-monde.net/catalogue/el-nino-histoire-et-geopolitique-dune-bombe-climatique/;;01/10/2023;;;El_Nino.png
Book;;Hyperguerre, Comment l'IA révolutionne la guerre (2024);https://www.nouveau-monde.net/catalogue/hyperguerre/;;01/10/2024;;Prix de la Heart Leadership University (HLU) 2025;Hyperguerre.png
